age,bias-question,gender,newsOutlet,politics,url,id,country_US,language_en,ind_politics,bias_sum,id_count,ratio
25,1,0.0,2,1.0,https://www.foxnews.com/us/new-york-city-driver-runs-over-man-doing-donuts-street-flees-video,237,0,0,0,6,6,1.0
36,1,1.0,2,1.0,https://www.foxnews.com/us/new-york-city-driver-runs-over-man-doing-donuts-street-flees-video,237,1,1,0,6,6,1.0
51,1,0.0,1,2.0,https://www.cnn.com/2022/03/19/us/arkansas-car-show-shooting/index.html,117,0,1,0,1,1,1.0
50,1,0.0,0,1.0,https://www.bbc.co.uk/news/uk-60593022,26,1,1,0,1,1,1.0
33,1,1.0,1,0.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
25,1,0.0,2,0.0,https://www.foxnews.com/us/murdaugh-estate-undisclosed-video,232,0,1,0,1,1,1.0
33,1,1.0,2,0.0,https://www.foxnews.com/us/minneapolis-man-filmed-deadly-beating-sent-video-to-victims-family-complaint,231,1,1,0,3,3,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/minneapolis-man-filmed-deadly-beating-sent-video-to-victims-family-complaint,231,1,1,0,3,3,1.0
35,1,1.0,2,1.0,https://www.foxnews.com/us/minneapolis-man-filmed-deadly-beating-sent-video-to-victims-family-complaint,231,1,1,0,3,3,1.0
44,1,1.0,2,2.0,https://www.foxnews.com/us/mexico-cartel-ak-texas-border,229,1,1,0,5,5,1.0
27,1,0.0,2,1.0,https://www.foxnews.com/us/mexico-cartel-ak-texas-border,229,1,1,0,5,5,1.0
28,1,0.0,2,2.0,https://www.foxnews.com/us/mexico-cartel-ak-texas-border,229,1,1,0,5,5,1.0
56,1,0.0,2,2.0,https://www.foxnews.com/us/mexico-cartel-ak-texas-border,229,1,1,0,5,5,1.0
28,1,1.0,2,1.0,https://www.foxnews.com/us/mexico-cartel-ak-texas-border,229,1,1,0,5,5,1.0
26,1,1.0,2,1.0,https://www.foxnews.com/us/mass-shooting-suspect-served-less-time-due-california-law,228,1,1,0,1,1,1.0
54,1,0.0,0,1.0,https://www.bbc.co.uk/news/world-europe-60804949,43,1,1,0,6,6,1.0
42,1,1.0,0,2.0,https://www.bbc.co.uk/news/world-europe-60804949,43,0,1,0,6,6,1.0
58,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-europe-60804949,43,0,1,0,6,6,1.0
25,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-europe-60990934,44,1,1,0,1,1,1.0
30,1,1.0,2,1.0,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis,179,1,1,0,6,6,1.0
40,1,0.0,2,2.0,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis,179,1,1,0,6,6,1.0
